MR,Reference,Hypothesis,Incorrect Number,Incorrect Named Entity,Incorrect Word,Context Error,Not checkable,Other,Fluency problem,OBS/DÚVIDAS
"[COVID19] [INTENTS] DEATHS_VARIATION_LAST_DAY(trend=""high"",variation=""4.52"") [SEP] NEW_DEATHS(deaths=""1156"",highest=""False"") [SEP] TOTAL_DEATHS(deaths=""26754"") [HISTORY] O Brasil chega ao total de 438.238 casos de #COVID19, com recorde de 26.417 novos casos nas últimas 24 horas.","Desde ontem, foram registrados no país 1.156 novas mortes, que agora somam 26.754, representando um crescimento diário de 4,52%.","As mortes por #COVID19 no país chegam a 267.654, com 1.561 novos óbitos, representando um crescimento diário de 4,52%.",s,n,n,n,n,n,n,
"[DEFORESTATION_MONTH] [INTENTS] TOTAL_DEFORESTATION(area=""116.33"",city=""Labrea"",location=""deter-amz"",month=""7"",state=""AM"",year=""2020"") [HISTORY] No mês, Pará foi o estado que mais teve desmatamento (685,97 km²).","O município que teve mais desmatamento no mês foi Labrea (Amazonas), com 116,33 km² de área desmatada.","O município que mais sofreu desmatamento foi Labrea, com 116,33 km2.",n,n,n,n,n,n,n,
"[COVID19] [INTENTS] NEW_CASES(cases=""51733"",highest=""False"") [SEP] TOTAL_CASES(cases=""9602034"") [HISTORY] [PARAGRAPH]","Com 51.733 novos casos, o Brasil chega a 9.602.034 infectados pela doença.","Com 51.433 novos casos, o Brasil chega a 960.034 infectados pela doença.",n,n,n,n,n,n,n,
"[DEFORESTATION_DAILY] [INTENTS] CAUSE(cause=""MINERACAO"",city=""Anapu"",location=""deter-amz"",month=""5"",state=""PA"",year=""2020"") [HISTORY] Segundo o INPE, Anapu / Pará teve alertas de desmatamento no dia 25 de maio de 2020 que somaram 3,01 km².","O alerta diário de desmatamento gerado pelo Instituto tem como principal motivo mineração, devido à ação de garimpos na floresta.","A principal causa dos alertas de desmatamento foi mineração, associada à atividade de garimpo.",n,n,n,n,n,n,n,
"[DEFORESTATION_DAILY] [INTENTS] CAUSE(cause=""MINERACAO"",city=""None"",location=""deter-amz"",month=""7"",state=""PA"",uc=""ÁREA DE PROTEÇÃO AMBIENTAL DO TAPAJÓS"",year=""2020"") [SEP] DAILY_ALERT(area=""1.58"",city=""None"",daily_accumulation=""11"",day=""9"",location=""deter-amz"",month=""7"",state=""PA"",uc=""ÁREA DE PROTEÇÃO AMBIENTAL DO TAPAJÓS"",year=""2020"") [SEP] TOTAL_DEFORESTATION(area=""15.57"",city=""None"",location=""deter-amz"",month=""7"",state=""PA"",uc=""ÁREA DE PROTEÇÃO AMBIENTAL DO TAPAJÓS"",year=""2020"") [HISTORY] [PARAGRAPH]","O INPE gerou alerta para devastação (1,58 km²) causada por mineração, devido à ação de garimpos, no dia 9 de julho de 2020 na ÁREA DE PROTEÇÃO AMBIENTAL DO TAPAJÓS / Pará - no mês já são 11 dias com alertas e 15,57 km² desmatar.","O Instituto Nacional de Pesquisas Espaciais (INPE) identificou, no dia 9 de julho de 2020, o desmatamento de 15,57 km2 na AREA DE PROTEÇÃO AMBIENTAL DO TAPAJÓS/PA, acumulando 11 dias com alertas.",n,n,n,n,n,n,n,
"[AMAZON_FIRE] [INTENTS] DAILY_FIRES(cases=""345"",day=""12"",month=""11"",year=""2020"") [HISTORY] [PARAGRAPH]","O Instituto Nacional de Pesquisas Espaciais(INPE) identificou, ao todo, 345 focos de queimadas no território brasileiro.",O Instituto Nacional de Pesquisas Espaciais (INPE) identificou o desmatamento de garimpos por #COVID19.,n,s,n,s,n,n,s,
"[COVID19] [INTENTS] DEATHS_VARIATION_LAST_DAY(trend=""high"",variation=""0.55"") [SEP] NEW_DEATHS(deaths=""1240"",highest=""False"") [SEP] TOTAL_DEATHS(deaths=""226383"") [HISTORY] [PARAGRAPH]","As mortes por #COVID19 no Brasil chegam a 226.383, com 1.240 novos óbitos, representando um crescimento diário de 0,55%.","As mortes por # COVID19 no Brasil chegam a 228. 563, com 1. 206 novos óbitos, representando um aumento diário de 0, 55 %.",s,n,n,n,n,s,n,
"[DEFORESTATION_DAILY] [INTENTS] CAUSE(cause=""DESMATAMENTO_CR"",city=""None"",location=""deter-amz"",month=""8"",state=""AM"",uc=""RESERVA EXTRATIVISTA DO BAIXO JURUÁ"",year=""2020"") [HISTORY] O Instituto Nacional de Pesquisas Espaciais (INPE) alertou, no dia 12 de agosto de 2020, o desmatamento de 0,08 km² na RESERVA EXTRATIVISTA DO BAIXO JURUÁ / Amazonas.","O principal tipo de desmatamento foi o desmatamento de corte raso, que deixa o solo sem nenhuma cobertura vegetal.","O desmatamento tem como principal causa o desmatamento com solo exposto, deixando a terra sem vegetação.",n,n,n,n,n,n,n,
"[DEFORESTATION_DAILY] [INTENTS] TOTAL_DEFORESTATION(area=""70.26"",city=""Sao Felix do Xingu"",location=""deter-amz"",month=""9"",state=""PA"",year=""2020"") [HISTORY] Segundo o Instituto Nacional de Pesquisas Espaciais (INPE), Sao Felix do Xingu / Pará teve alertas de desmatamento no dia 11 de setembro de 2020 que somaram 5,97 km².","Sao Felix do Xingu somou 70,26 km² de área desmatada em setembro.","Sao Felix do Xingu acumula 70,26 km2 em setembro.",n,n,n,n,n,s,n,"acentuação em ambos os casos; Recupera coesivamente ""de área desmatada"""
"[AMAZON_FIRE] [INTENTS] DAILY_FIRES(cases=""19"",day=""4"",month=""3"",year=""2021"") [HISTORY] [PARAGRAPH]","O INPE (Instituto Nacional de Pesquisas Espaciais) identificou, ao todo, 19 focos de queimadas no território brasileiro.","No dia, o Instituto Nacional de Pesquisas Espaciais ( INPE ) registrou um total de 674 focos de queimadas no território brasileiro.",s,n,n,n,n,n,n,
"[DEFORESTATION_MONTH] [INTENTS] TOTAL_DEFORESTATION(area=""685.97"",location=""deter-amz"",month=""7"",state=""PA"",year=""2020"") [HISTORY] [PARAGRAPH]","No mês, Pará foi o estado que mais teve desmatamento (685,97 km²).","No mês, Pará foi o estado que mais teve desmatamento (685,97 km²).",n,n,n,n,n,n,n,
"[DEFORESTATION_DAILY] [INTENTS] DAILY_ALERT(area=""3.35"",city=""Manicore"",daily_accumulation=""6"",day=""26"",location=""deter-amz"",month=""5"",state=""AM"",year=""2020"") [SEP] TOTAL_DEFORESTATION(area=""13.41"",city=""Manicore"",location=""deter-amz"",month=""5"",state=""AM"",year=""2020"") [HISTORY] [PARAGRAPH]","O monitoramento do Instituto Nacional de Pesquisas Espaciais (INPE) alertou o desmatamento de 3,35 km² no município de Manicore / Amazonas no dia 26 de maio de 2020 - Manicore já teve alertas de desmatamento em 6 dias desse mês, totalizando 13,41 km² de desmatamento.","O monitoramento do INPE alertou o desmatamento de 3,35 km2 no município de Manicore / Amazonas no dia 26 de maio de 2020 - Manicore já teve alertas de desmatamento em 6 dias desse mês, totalizando 13,41 km2 de desmatamento.",n,n,n,n,n,n,n,
"[DEFORESTATION_DAILY] [INTENTS] CAUSE(cause=""DESMATAMENTO_CR"",city=""None"",location=""deter-amz"",month=""7"",state=""PA"",uc=""FLORESTA NACIONAL DE ALTAMIRA"",year=""2020"") [HISTORY] [PARAGRAPH]","O principal tipo de desmatamento foi o desmatamento de corte raso, que deixa o solo sem nenhuma cobertura vegetal.","O principal tipo de desmatamento foi o desmatamento com solo exposto, que deixa a floresta sem nenhuma vegetação.",n,n,n,n,n,n,n,
"[COVID19] [INTENTS] TOTAL_CASES(cases=""4165124"") [SEP] TOTAL_DEATHS(deaths=""127517"") [HISTORY] [PARAGRAPH]","São registrados, no total, 127.517 mortes e 4.165.124 casos de #COVID19 no Brasil.",O Brasil chega a 4.165.124 casos e contabiliza 127.517 mortes pela doença.,n,n,n,n,n,n,n,
"[COVID19] [INTENTS] TOTAL_CASES(cases=""1866176"") [SEP] TOTAL_DEATHS(deaths=""72151"") [HISTORY] [PARAGRAPH]",O Brasil alcança 1.866.176 casos confirmados e 72.151 mortes por #COVID19.,"No total, o Brasil contabiliza 1. 556. 176 casos e 72. 656 mortes pela doença.",n,n,n,n,n,n,n,
"[DEFORESTATION_DAILY] [INTENTS] DAILY_ALERT(area=""3.33"",city=""Manicore"",daily_accumulation=""6"",day=""6"",location=""deter-amz"",month=""7"",state=""AM"",year=""2020"") [SEP] TOTAL_DEFORESTATION(area=""16.07"",city=""Manicore"",location=""deter-amz"",month=""7"",state=""AM"",year=""2020"") [HISTORY] [PARAGRAPH]","O monitoramento do Instituto Nacional de Pesquisas Espaciais (INPE) alertou o desmatamento de 3,33 km² no município de Manicore / Amazonas no dia 6 de julho de 2020 - Manicore já teve alertas de desmatamento em 6 dias desse mês, totalizando 16,07 km² de desmatamento.","O monitoramento do INPE alertou o desmatamento de 3,33 km² no município de Manicore / Amazonas no dia 6 de julho de 2020 - Manicore já teve alertas de desmatamento em 6 dias desse mês, totalizando 16,07 km² de desmatamento.",n,n,n,n,n,n,n,
"[AMAZON_FIRE] [INTENTS] DAILY_FIRES(cases=""569"",day=""11"",month=""10"",year=""2020"") [HISTORY] [PARAGRAPH]","Hoje, dia 11 de outubro de 2020, o Brasil registrou 569 focos de queimadas, segundo dados divulgados pelo Instituto Nacional de Pesquisas Espaciais(INPE).",O Instituto Nacional de Pesquisas Espaciais (INPE) identificou 569 focos de queimadas no território brasileiro.,n,n,n,n,n,n,n,
"[DEFORESTATION_DAILY] [INTENTS] DAILY_ALERT(area=""31.49"",city=""Altamira"",daily_accumulation=""6"",day=""30"",location=""deter-amz"",month=""5"",state=""PA"",year=""2020"") [HISTORY] [PARAGRAPH]","No dia 30 de maio de 2020, o Instituto Nacional de Pesquisas Espaciais registrou alertas de desmatamento somando 31,49 km² em Altamira / Pará, que acumula 6 dias com alertas no mês.","No dia 30 de maio de 2020, o Instituto Nacional de Pesquisas Espaciais (INPE) reportou avisos de desmatamento que somam 31.49 km² na cidade de Altamira/PA, acumulando 6 dias com alertas no mês.",n,n,n,n,n,n,n,
"[COVID19] [INTENTS] DEATHS_VARIATION_LAST_DAY(trend=""high"",variation=""0.64"") [SEP] NEW_DEATHS(deaths=""1224"",highest=""False"") [SEP] TOTAL_DEATHS(deaths=""193940"") [HISTORY] [PARAGRAPH]","As mortes por #COVID19 no Brasil chegam a 193.940, com 1.224 novos óbitos, representando um crescimento diário de 0,64%.","No total, foram contabilizados 1224 novos óbitos, um aumento diário de 6% no total de óbitos por #COVID19.",s,n,n,n,n,n,n,
"[AMAZON_FIRE] [INTENTS] DAILY_FIRES(cases=""111"",day=""16"",month=""3"",year=""2021"") [HISTORY] [PARAGRAPH]","O Instituto Nacional de Pesquisas Espaciais(INPE) identificou, ao todo, 111 focos de queimadas no território brasileiro.","O Instituto Nacional de Pesquisas Espaciais(INPE) identificou, ao todo, 111 focos de queimadas no território brasileiro.",n,n,n,n,n,n,n,
"[DEFORESTATION_DAILY] [INTENTS] TOTAL_DEFORESTATION(area=""1.81"",city=""None"",location=""deter-amz"",month=""8"",state=""AC"",uc=""RESERVA EXTRATIVISTA DO CAZUMBÁ-IRACEMA"",year=""2020"") [HISTORY] O Instituto Nacional de Pesquisas Espaciais (INPE) registrou alerta de desmatamento de 0,24 km² na RESERVA EXTRATIVISTA DO CAZUMBÁ-IRACEMA / Acre em 6 de agosto de 2020 - a RESERVA EXTRATIVISTA DO CAZUMBÁ-IRACEMA já teve 7 dias com alertas nesse mês.","Em agosto, a RESERVA EXTRATIVISTA DO CAZUMBÁ-IRACEMA acumula 1,81 km² de área desmatada.","O principal tipo foi o desmatamento com solo exposto, acumulando 1.81 km2 de área desmatada.",n,n,n,s,s,n,n,
"[DEFORESTATION_DAILY] [INTENTS] TOTAL_DEFORESTATION(area=""5.32"",city=""Cumaru do Norte"",location=""deter-amz"",month=""8"",state=""PA"",year=""2020"") [HISTORY] O principal tipo de degradação que gerou o alerta para Cumaru do Norte / Pará foi o desmatamento com solo exposto, que remove totalmente a vegetação da floresta.","No total, 5,32 km² foram desmatados em Cumaru do Norte no mês de agosto.","O município que mais sofreu desmatamento foi Marcelândia ( MT ), com 76 de área desmatada.",s,s,n,n,n,n,n,
"[AMAZON_FIRE] [INTENTS] CITY_FIRE_ALERT(bioma=""Cerrado"",cases=""7"",city=""ACREÚNA"",day=""20"",month=""2"",state=""GOIÁS"",year=""2021"") [HISTORY] Hoje, 20 de fevereiro, o Instituto Nacional de Pesquisas Espaciais(INPE) registrou 48 focos de queimadas no bioma Cerrado.","A cidade mais atingida foi ACREÚNA, em GOIÁS, que teve 7 focos de queimadas.","A cidade mais atingida foi ACREÚNA, em GOIÁS, que teve 7 focos de queimadas.",n,n,n,n,n,n,n,
"[DEFORESTATION_MONTH] [INTENTS] TOTAL_DEFORESTATION(area=""177.84"",location=""deter-amz"",month=""4"",state=""PA"",year=""2021"") [HISTORY] [PARAGRAPH]","Pará foi o estado mais atingido pelo desmatamento, com 177,84 km².",O Pará foi o estado que mais sofreu desmatamento (177.84 km2).,n,n,n,n,n,n,n,
"[COVID19] [INTENTS] NEW_CASES(cases=""26417"",highest=""True"") [SEP] TOTAL_CASES(cases=""438238"") [HISTORY] [PARAGRAPH]","O Brasil chega ao total de 438.238 casos de #COVID19, com recorde de 26.417 novos casos nas últimas 24 horas.","Com recorde de 264.717 novos casos, o Brasil chega a 4.238.338 infectados pela doença.",s,n,n,n,n,n,n,
"[AMAZON_FIRE] [INTENTS] CITY_FIRE_ALERT(bioma=""Mata Atlântica"",cases=""3"",city=""VALENÇA"",day=""26"",month=""2"",state=""BAHIA"",year=""2021"") [HISTORY] [PARAGRAPH]","Segundo dados de queimadas do Instituto Nacional de Pesquisas Espaciais(INPE), hoje, 26 de fevereiro de 2021, VALENÇA / BAHIA, localizada em Mata Atlântica, foi a cidade mais atingida por focos de queimadas, acumulando 3 focos de incêndio no dia.","Segundo dados do Instituto Nacional de Pesquisas Espaciais(INPE) sobre queimadas no território brasileiro, hoje (26 de fevereiro), Mata Atlântica registrou 3 focos de queimadas e foi o bioma mais atingido.",n,n,n,s,n,n,n,
"[AMAZON_FIRE] [INTENTS] BIOMA_FIRE_ALERT(bioma=""Mata Atlântica"",cases=""12"",day=""26"",month=""2"",year=""2021"") [HISTORY] Segundo dados de queimadas do Instituto Nacional de Pesquisas Espaciais(INPE), hoje, 26 de fevereiro de 2021, VALENÇA / BAHIA, localizada em Mata Atlântica, foi a cidade mais atingida por focos de queimadas, acumulando 3 focos de incêndio no dia.","No dia, Mata Atlântica teve 12 focos de queimadas e foi o bioma mais atingido.","O bioma mais atingido foi a Mata Atlântica, acumulando 12 focos de queimadas, acumulando 3 focos de incêndio no dia.",n,n,n,s,s,n,s,
"[AMAZON_FIRE] [INTENTS] CITY_FIRE_ALERT(bioma=""Amazônia"",cases=""20"",city=""MOJU"",day=""16"",month=""11"",state=""PARÁ"",year=""2020"") [HISTORY] O INPE (Instituto Nacional de Pesquisas Espaciais) identificou, ao todo, 328 focos de queimadas no território brasileiro.","MOJU / PARÁ, na Amazônia, foi a cidade mais atingida, acumulando 20 focos de incêndio no dia.","NOVA LARANJEIRAS / PARÁ, na Amazônia, foi a cidade mais atingida, acumulando 20 focos de incêndio no dia.",n,s,n,s,n,n,n,
"[AMAZON_FIRE] [INTENTS] CITY_FIRE_ALERT(bioma=""Cerrado"",cases=""2"",city=""PEDRO GOMES"",day=""27"",month=""2"",state=""MATO GROSSO DO SUL"",year=""2021"") [HISTORY] O Instituto Nacional de Pesquisas Espaciais(INPE) identificou, ao todo, 21 focos de queimadas no território brasileiro.","PEDRO GOMES / MATO GROSSO DO SUL, no bioma Cerrado, foi a cidade mais atingida, acumulando 2 focos de incêndio no dia.","PDRO GOMES / MATO GROSSO DO SUL, no bioma Cerrado, foi a cidade mais atingida, acumulando 2 focos de incêndio no dia.",n,s,s,n,n,n,n,
"[COVID19] [INTENTS] TOTAL_CASES(cases=""4239763"") [SEP] TOTAL_DEATHS(deaths=""129575"") [HISTORY] [PARAGRAPH]",O Brasil alcança 4.239.763 casos confirmados e 129.575 mortes por #COVID19.,"São registrados, no total, 129.575 mortes e 4.399.963 casos de #COVID19 no Brasil.",s,n,n,n,n,n,n,
"[COVID19] [INTENTS] CASES_VARIATION_LAST_DAY(trend=""high"",variation=""0.65"") [SEP] NEW_CASES(cases=""58691"",highest=""False"") [SEP] TOTAL_CASES(cases=""9119477"") [HISTORY] [PARAGRAPH]","O Brasil registra 58.691 novos casos de #COVID19, somando 9.119.477 casos no total e crescimento de 0,65% em relação ao dia anterior.","O Brasil contabiliza 59685 casos de #COVID19, o Brasil contabiliza 57685 novos casos e alta diária de 2%.",s,n,n,s,n,n,s,
"[DEFORESTATION_DAILY] [INTENTS] DAILY_ALERT(area=""4.39"",city=""Sena Madureira"",daily_accumulation=""6"",day=""22"",location=""deter-amz"",month=""7"",state=""AC"",year=""2020"") [HISTORY] [PARAGRAPH]","No dia 22 de julho de 2020, o Instituto Nacional de Pesquisas Espaciais informou que houve alertas de desmatamento que somam 4,39 km² em Sena Madureira / Acre, acumulando 6 dias com alertas no mês na região.","No dia 22 de julho de 2020, o Instituto Nacional de Pesquisas Espaciais informou que houve alertas de desmatamento que somam 4,39 km² em Sena Madureira / Acre, acumulando 6 dias com alertas no mês na região.",n,n,n,n,n,n,n,
"[COVID19] [INTENTS] CASES_VARIATION_LAST_DAY(trend=""high"",variation=""0.67"") [HISTORY] [PARAGRAPH]","O Brasil observa alta de 0,67% num dia na quantidade de casos de #COVID19.","O Brasil observa crescimento de 0, 67 % num dia na quantidade de casos de # COVID19.",n,n,n,n,n,s,n,
"[COVID19] [INTENTS] TOTAL_CASES(cases=""7506890"") [SEP] TOTAL_DEATHS(deaths=""191641"") [HISTORY] [PARAGRAPH]",O Brasil soma 7.506.890 casos de #COVID19 e 191.641 mortes ocasionadas pelo vírus.,Brasil registra recorde de casos de # COVID19.,n,n,n,s,s,n,n,
"[AMAZON_FIRE] [INTENTS] DAILY_FIRES(cases=""22"",day=""26"",month=""2"",year=""2021"") [HISTORY] No dia, Mata Atlântica teve 12 focos de queimadas e foi o bioma mais atingido.","Ao todo, no dia 26 de fevereiro de 2020, o INPE registrou 22 focos de queimadas no território brasileiro.","Ao todo, no dia 26 de fevereiro de 2020, o INPE registrou 22 focos de queimadas no território brasileiro.",n,n,n,n,n,n,n,
"[AMAZON_FIRE] [INTENTS] DAILY_FIRES(cases=""569"",day=""11"",month=""10"",year=""2020"") [HISTORY] [PARAGRAPH]","Hoje, dia 11 de outubro de 2020, o Brasil registrou 569 focos de queimadas, segundo dados divulgados pelo Instituto Nacional de Pesquisas Espaciais(INPE).","O Instituto Nacional de Pesquisas Espaciais(INPE) identificou, ao todo, 569 focos de queimadas no território brasileiro.",n,n,n,n,n,n,n,não realização da data na hipótese
"[COVID19] [INTENTS] TOTAL_CASES(cases=""5496402"") [SEP] TOTAL_DEATHS(deaths=""159033"") [HISTORY] [PARAGRAPH]","São registrados, no total, 159.033 mortes e 5.496.402 casos de #COVID19 no Brasil.",Brasil contabiliza 55 novos casos e alta diária.,s,n,n,s,s,n,n,
"[DEFORESTATION_DAILY] [INTENTS] CAUSE(cause=""DESMATAMENTO_CR"",city=""Manicore"",location=""deter-amz"",month=""7"",state=""AM"",year=""2020"") [HISTORY] [PARAGRAPH]","A principal causa para o desmatamento na região foi o desmatamento com solo exposto, que acaba com toda vegetação do local.","O desmatamento com solo exposto, deixando a terra sem vegetação, foi a principal causa de desmatamento.",n,n,n,n,n,n,n,
"[COVID19] [INTENTS] TOTAL_CASES(cases=""6204570"") [SEP] TOTAL_DEATHS(deaths=""171497"") [HISTORY] [PARAGRAPH]","São registrados, no total, 171.497 mortes e 6.204.570 casos de #COVID19 no Brasil.","Brasil contabiliza 621 casos de #COVID19 no total, o Brasil contabiliza 57 mortes por #COVID19 no Brasil.",s,n,n,n,n,n,n,
"[DEFORESTATION_DAILY] [INTENTS] CAUSE(cause=""MINERACAO"",city=""None"",location=""deter-amz"",month=""7"",state=""PA"",uc=""FLORESTA NACIONAL DE ITAITUBA II"",year=""2020"") [HISTORY] [PARAGRAPH]","A principal causa para o alerta de degradação foi mineração, devido à ação de garimpos.",O alerta gerado indica degradação por causa da mineração.,n,n,n,n,n,n,n,
"[DEFORESTATION_DAILY] [INTENTS] CAUSE(cause=""DESMATAMENTO_CR"",city=""Novo Repartimento"",location=""deter-amz"",month=""7"",state=""PA"",year=""2020"") [HISTORY] Novo Repartimento somou 26,18 km² de área desmatada em julho.","O principal tipo de degradação que gerou o alerta para Novo Repartimento / Pará foi o desmatamento com solo exposto, que deixa a terra sem vegetação.","O principal tipo de desmatamento foi o desmatamento com solo exposto, que deixa a terra sem vegetação.",n,n,n,n,n,n,n,
"[DEFORESTATION_DAILY] [INTENTS] DAILY_ALERT(area=""31.49"",city=""Altamira"",daily_accumulation=""6"",day=""30"",location=""deter-amz"",month=""5"",state=""PA"",year=""2020"") [HISTORY] [PARAGRAPH]","No dia 30 de maio de 2020, o Instituto Nacional de Pesquisas Espaciais registrou alertas de desmatamento somando 31,49 km² em Altamira / Pará, que acumula 6 dias com alertas no mês.","Segundo o Instituto Nacional de Pesquisas Espaciais ( INPE ), Altamira / Pará teve alertas de desmatamento no dia 30 de maio de 2020 que somaram 6, 49.",s,n,n,n,n,s,n,
"[AMAZON_FIRE] [INTENTS] CITY_FIRE_ALERT(bioma=""Caatinga"",cases=""22"",city=""SANTA QUITÉRIA"",day=""13"",month=""11"",state=""CEARÁ"",year=""2020"") [HISTORY] O bioma mais atingido foi a Caatinga, que registrou 675 focos de queimadas.","A cidade mais atingida foi SANTA QUITÉRIA / CEARÁ, localizada na Caatinga, que registrou 22 focos de incêndio.","A cidade mais atingida foi SANTA QUITÉRIA, em CEARÁ, que teve 22 focos de queimadas.",n,n,n,n,n,n,n,precisamos descidir sobre o erro de preposição + artigo antes dos estados (em Ceará != no Ceará)-- mas note que a referência também fica assim em alguns casos (especialmente pois o padrão muda a depender do estado)
"[COVID19] [INTENTS] DEATHS_VARIATION_LAST_DAY(trend=""high"",variation=""4.52"") [SEP] NEW_DEATHS(deaths=""1156"",highest=""False"") [SEP] TOTAL_DEATHS(deaths=""26754"") [HISTORY] O Brasil chega ao total de 438.238 casos de #COVID19, com recorde de 26.417 novos casos nas últimas 24 horas.","Desde ontem, foram registrados no país 1.156 novas mortes, que agora somam 26.754, representando um crescimento diário de 4,52%.",O número de mortes pelo vírus alcança 12.69 novos óbitos.,s,n,n,s,n,n,n,faltando intents
"[COVID19] [INTENTS] TOTAL_CASES(cases=""1370488"") [SEP] TOTAL_DEATHS(deaths=""58385"") [HISTORY] [PARAGRAPH]",O Brasil soma 1.370.488 casos de #COVID19 e 58.385 mortes ocasionadas pelo vírus.,"Brasil registra 1370488 novos casos de #COVID19, o maior aumento diário registrado até o momento.",n,n,n,s,s,n,n,
"[AMAZON_FIRE] [INTENTS] BIOMA_FIRE_ALERT(bioma=""Cerrado"",cases=""48"",day=""20"",month=""2"",year=""2021"") [HISTORY] [PARAGRAPH]","Hoje, 20 de fevereiro, o Instituto Nacional de Pesquisas Espaciais(INPE) registrou 48 focos de queimadas no bioma Cerrado.","No dia 20 de janeiro de 2020, o bioma Cerrado atingiu o recorde de queimadas, acumulando 48 focos de queimadas.",n,n,n,n,n,n,n,
"[COVID19] [INTENTS] CASES_VARIATION_LAST_DAY(trend=""high"",variation=""3.56"") [SEP] NEW_CASES(cases=""40995"",highest=""False"") [SEP] TOTAL_CASES(cases=""1192474"") [HISTORY] [PARAGRAPH]","O Brasil registra 40.995 novos casos de #COVID19, somando 1.192.474 casos no total e alta de 3,56% em relação ao dia anterior.","O Brasil registra 40.995 novos casos de #COVID19, somando 1.1924.74 casos no total e crescimento de 3,56% em relação ao dia anterior.",s,n,n,n,n,n,n,
"[AMAZON_FIRE] [INTENTS] DAILY_FIRES(cases=""228"",day=""26"",month=""11"",year=""2020"") [HISTORY] No dia, a Amazônia teve 91 focos de queimadas e foi o bioma mais atingido.","Ao todo, no dia 26 de novembro de 2020, o Instituto Nacional de Pesquisas Espaciais(INPE) registrou 228 focos de queimadas no território brasileiro.","Ao todo, no dia 26 de novembro de 2020, o INPE registrou 228 focos de queimadas no território brasileiro.",n,n,n,n,n,n,n,
"[COVID19] [INTENTS] TOTAL_CASES(cases=""4239763"") [SEP] TOTAL_DEATHS(deaths=""129575"") [HISTORY] [PARAGRAPH]",O Brasil alcança 4.239.763 casos confirmados e 129.575 mortes por #COVID19.,Brasil contabiliza 42 novos casos e alta diária.,s,n,n,s,s,n,n,
"[COVID19] [INTENTS] TOTAL_CASES(cases=""5103408"") [SEP] TOTAL_DEATHS(deaths=""150709"") [HISTORY] [PARAGRAPH]","São registrados, no total, 150.709 mortes e 5.103.408 casos de #COVID19 no Brasil.","No total, são registradas pelo Instituto Nacional de Pesquisas Espaciais (INPE) 5103408 casos e 150709 mortes por #COVID19.",n,s,n,n,n,n,n,
"[COVID19] [INTENTS] CASES_VARIATION_LAST_DAY(trend=""high"",variation=""3.61"") [SEP] NEW_CASES(cases=""40131"",highest=""False"") [SEP] TOTAL_CASES(cases=""1151479"") [HISTORY] As mortes por #COVID19 no Brasil chegam a 52.771, com 1.364 novos óbitos, representando um aumento diário de 2,65%.","Os casos de infecção pelo vírus alcançam 1.151.479, uma alta diária de 3,61%, representada por 40.131 novos casos.",O país chega a 40131 casos e alta diária de 6%., s,n,n,s,n,n,n,
"[DEFORESTATION_DAILY] [INTENTS] CAUSE(cause=""DESMATAMENTO_CR"",city=""Sena Madureira"",location=""deter-amz"",month=""7"",state=""AC"",year=""2020"") [HISTORY] No dia 22 de julho de 2020, o Instituto Nacional de Pesquisas Espaciais informou que houve alertas de desmatamento que somam 4,39 km² em Sena Madureira / Acre, acumulando 6 dias com alertas no mês na região.","O principal tipo de degradação que gerou o alerta para Sena Madureira / Acre foi o desmatamento com solo exposto, que deixa a terra sem vegetação.","O desmatamento com solo exposto, deixando a terra sem vegetação, foi a principal causa de desmatamento.",n,n,n,n,n,n,n,
"[AMAZON_FIRE] [INTENTS] DAILY_FIRES(cases=""328"",day=""16"",month=""11"",year=""2020"") [HISTORY] [PARAGRAPH]","O INPE (Instituto Nacional de Pesquisas Espaciais) identificou, ao todo, 328 focos de queimadas no território brasileiro.","O INPE (Instituto Nacional de Pesquisas Espaciais) identificou, ao todo, 328 focos de queimadas no território brasileiro.",n,n,n,n,n,n,n,
"[AMAZON_FIRE] [INTENTS] DAILY_FIRES(cases=""328"",day=""16"",month=""11"",year=""2020"") [HISTORY] [PARAGRAPH]","O INPE (Instituto Nacional de Pesquisas Espaciais) identificou, ao todo, 328 focos de queimadas no território brasileiro.","No dia, o Instituto Nacional de Pesquisas Espaciais ( INPE ) registrou um total de 679 focos de queimadas no território brasileiro.",s,n,n,n,n,n,n,
"[AMAZON_FIRE] [INTENTS] CITY_FIRE_ALERT(bioma=""Mata Atlântica"",cases=""2"",city=""CERRO AZUL"",day=""25"",month=""12"",state=""PARANÁ"",year=""2020"") [HISTORY] [PARAGRAPH]","Segundo dados de queimadas do Instituto Nacional de Pesquisas Espaciais(INPE), hoje, 25 de dezembro de 2020, CERRO AZUL / PARANÁ, localizada em Mata Atlântica, foi a cidade mais atingida por focos de queimadas, acumulando 2 focos de incêndio no dia.","Segundo dados de queimadas do INPE (Instituto Nacional de Pesquisas Espaciais), hoje, 25 de dezembro de 2020, Cerrado AZUL / PARANÁ, localizada em Mata Atlântica, foi a cidade mais atingida por focos de queimadas, acumulando 2 focos de incêndio no dia.",n,n,n,n,n,n,n,
