MR,Reference,Hypothesis,Incorrect Number,Incorrect Named Entity,Incorrect Word,Context Error,Not checkable,Other,Fluency problem,DÚVIDAS/obs
"name[Zizzi], eatType[pub], customer rating[high], near[Burger King]",Near Burger King is a highly rated pub called Zizzi.,Zizzi is a pub near Burger King with a high customer rating.,n,n,n,n,n,n,n,
"name[Blue Spice], eatType[restaurant], food[Chinese], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]",Blue Spice is a family friendly Chinese restaurant in Riverside near the Rainbow Vegetarian Café.,Blue Spice is a Chinese restaurant located in the riverside area near Rainbow Vegetarian Café. It is children friendly.,n,n,n,n,n,n,n,
"name[The Cricketers], eatType[coffee shop], customer rating[low], familyFriendly[yes], near[Ranch]",The Cricketers is a low rated but family friendly coffee shop near Ranch.,The Cricketers is a family friendly coffee shop near Ranch. It has a low customer rating.,n,n,n,n,n,n,n,
"name[Blue Spice], eatType[restaurant], food[English], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]","Near the Rainbow Vegetarian Café in the city centre, you will find the family-friendly restaurant Blue Spice, serving an English food menu.","Near the Rainbow Vegetarian Café in the city centre, you will find the family-friendly restaurant Blue Spice, serving an English food menu.",n,n,n,n,n,n,n,
"name[Wildwood], eatType[pub], food[Italian], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]",Wildwood is a pub located in riverside area near Raja Indian Cuisine. It serves Italian food and It is not family-friendly.,"The Italian pub, The Wrestlers, is located in the riverside area near Raja Indian Cuisine. It is not family - friendly.",n,n,n,n,n,s,n,
"name[The Phoenix], eatType[pub], food[French], priceRange[more than £30], customer rating[low], area[riverside], familyFriendly[yes], near[Crowne Plaza Hotel]",There is an expensive-priced pub located close to Crowne Plaza Hotel called The Phoenix.,The Phoenix is a children friendly pub located near Crowne Plaza Hotel in the riverside area. It serves French food for more than £30 and has a low customer rating.,n,n,n,n,n,n,n,
"name[The Wrestlers], eatType[pub], food[Japanese], priceRange[moderate], customer rating[1 out of 5], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]",There is a one star mid priced family friendly pub The Wrestlers near Raja Indian Cuisine in the City centre. It offers Chinese food.,There is a one star mid priced family friendly pub The Wrestlers near Raja Indian Cuisine in the City centre. It offers Chinese food.,n,n,n,n,n,n,n,
"name[Cocum], eatType[coffee shop], customer rating[high], near[Burger King]",Near Burger King there is a highly rated coffee shop named Cocum.,Cocum is a coffee shop near Burger King with a high customer rating.,n,n,n,n,n,n,n,
"name[The Cricketers], eatType[restaurant], food[English], priceRange[cheap], customer rating[average], area[riverside], familyFriendly[yes], near[Café Rouge]",The Cricketers is a family friendly restaurant serving cheap English food in the riverside area situated near Café Rouge,The Cricketers is a family friendly restaurant located near Café Rouge. It is cheap and has an average customer rating.,n,n,n,n,n,n,n,
"name[Cocum], eatType[pub], customer rating[low], near[Café Sicilia]","Cocum, a pub with a low customer rating, is near Café Sicilia.",Cocum is a pub near Café Sicilia with a low customer rating.,n,n,n,n,n,n,n,
"name[The Cricketers], eatType[coffee shop], customer rating[5 out of 5], familyFriendly[no], near[Crowne Plaza Hotel]","The Cricketers, a highly rated coffee shop near Crowne Plaza Hotel, is not family-friendly.",The Cricketers is a coffee shop near Crowne Plaza Hotel. It is not family - friendly and has a customer rating of 5 out of 5.,n,n,n,n,n,s,n,
"name[Cocum], eatType[pub], customer rating[high], near[Café Sicilia]",pub located near Café Sicilia called Cocum with a high customer rating,Cocum is a pub near Café Sicilia with a high customer rating.,n,n,n,n,n,n,n,
"name[The Mill], eatType[restaurant], food[English], priceRange[high], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]",The Mill is a child friendly restaurant near to Raja Indian Cuisine in the riverside area. They serve English food. The price range is high,The Mill is a high-priced restaurant in the riverside area near Raja Indian Cuisine. It is child friendly and serves English food.,n,n,n,n,n,n,n,
"name[Blue Spice], eatType[restaurant], food[Chinese], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]",Blue Spice is a family friendly Chinese restaurant in Riverside near the Rainbow Vegetarian Café.,There is a Chinese restaurant in the riverside area near Rainbow Vegetarian Café called Blue Spice. It is kid friendly.,n,n,n,n,n,n,n,
"name[Cocum], eatType[coffee shop], customer rating[high], near[Café Sicilia]",coffee shop located near Café Sicilia called Cocum with a high customer rating,coffee shop located near Café Sicilia called Cocum with a high customer rating,n,n,n,n,n,n,s,
"name[The Cricketers], eatType[coffee shop], customer rating[3 out of 5], familyFriendly[yes], near[Avalon]",The Cricketers is a kid-friendly coffee shop with a customer rating of 3 out of 5. It is located near Avalon.,The Cricketers is a coffee shop near the Ranch. It is kid friendly and has a customer rating of 3 out of 5.,n,n,n,n,n,n,n,
"name[Zizzi], eatType[coffee shop], customer rating[average], near[Burger King]","Close by Burger King, is Zizzi. An average rated coffee shop.",The Zizzi coffee shop is located near Burger King. It has an average customer rating.,n,n,n,n,n,a,n,the
"name[The Wrestlers], eatType[pub], food[Japanese], priceRange[£20-25], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]","The Wrestlers serves Japanese food, and is situated near Raja Indian Cuisine, in the riverside area. It is a kid friendly pub with a price range of £20 - £25.",The Wrestlers is a kid friendly Japanese pub in the riverside area near Raja Indian Cuisine with a price range of £20-25.,n,n,n,n,n,n,n,
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[moderate], customer rating[1 out of 5], area[city centre], familyFriendly[yes], near[All Bar One]","The Cricketers restaurant Chinese food is moderately price, but customer ratings show 1 out of 5, located in city centre it is a kid friendly restaurant and is located near All Bar One.",The Cricketers is a Chinese restaurant located in the city centre near All Bar One. It has a moderate price range and a customer rating of 1 out of 5. It is also kid friendly.,n,n,n,n,n,n,n,
"name[Blue Spice], eatType[pub], food[English], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]",Blue Spice is a pub that serves English food. It is located near Rainbow Vegetarian Café is the city centre area. It is also a pub. It is not family-friendly.,Blue Spice is an English pub located in the city centre near Rainbow Vegetarian Café. It is not family-friendly.,n,n,n,n,n,n,n,
"name[Strada], eatType[pub], customer rating[low], near[Express by Holiday Inn]",Strada pub has a low customer Rating and is located near Express by Holiday Inn.,Strada pub has a low customer Rating and is located near Express by Holiday Inn.,n,n,n,n,n,n,n,
"name[Green Man], eatType[pub], food[Japanese], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]",The Green Man is a family friendly pub near Express by Holiday Inn in the riverside area with Japanese food.,The Green Man is a family friendly pub near Express by Holiday Inn in the riverside area with Japanese food.,n,n,n,n,n,n,n,
"name[Blue Spice], eatType[pub], area[riverside]",There is a pub Blue Spice in the riverside area.,Blue Spice is a pub in the riverside area.,n,n,n,n,n,n,n,
"name[Wildwood], eatType[pub], food[Italian], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]",Wildwood near Raja Indian Cuisine in the riverside area is a child friendly Italian pub,Wildwood near Raja Indian Cuisine in the riverside area is a child friendly Italian pub,n,n,n,n,n,n,n,
"name[Zizzi], eatType[pub], customer rating[high], near[Burger King]",Near Burger King is a highly rated pub called Zizzi.,Near Burger King is a highly rated pub called Zizzi.,n,n,n,n,n,n,n,
"name[Clowns], eatType[coffee shop], near[The Sorrento]",Close to The Sorrento you can find Clowns coffee shop.,Close to The Sorrento you can find Clowns coffee shop.,n,n,n,n,n,n,n,
"name[Loch Fyne], eatType[pub], area[riverside]",The Loch Fyne is a pub at the riverside.,Loch Fyne is a pub in the riverside area.,n,n,n,n,n,n,n,
"name[The Vaults], eatType[pub], food[Japanese], priceRange[£20-25], customer rating[3 out of 5], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]",The Vaults is a kid friendly pub serving Japanese food located in the city center near Rainbow Vegetarian Café. Prices range from £20-25 and the customer rating is 3 out of 5.,The Vaults is a Japanese pub located in the city centre near the Rainbow Vegetarian Café. It is kid friendly and has a price range of £20 - 25.,n,n,n,s,n,n,n,
"name[The Cricketers], eatType[coffee shop], customer rating[5 out of 5], familyFriendly[yes], near[Crowne Plaza Hotel]",There is a 5 out of 5 customer rated child friendly coffee shop located near a Crowne Plaza Hotel called The Cricketers.,The Cricketers is a family friendly coffee shop located near Crowne Plaza Hotel. It has a customer rating of 5 out of 5.,n,n,n,n,n,n,n,
"name[The Cricketers], eatType[restaurant], food[English], priceRange[£20-25], customer rating[high], area[city centre], familyFriendly[yes], near[All Bar One]",The Cricketers is an average English restaurant located in city centre near All Bar One.,The Cricketers is a kid friendly restaurant located in the city centre near All Bar One. It serves English food and has a high customer rating. The price range is £20-25.,n,n,n,n,n,n,n,
"name[Wildwood], eatType[restaurant], food[Italian], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]","Wildwood is a non family-friendly, Italian restaurant near Raja Indian Cuisine in the city center.",The Wildwood is an Italian restaurant located in the city centre near Raja Indian Cuisine. It is not family-friendly.,n,n,n,n,n,n,n,
"name[The Cricketers], eatType[restaurant], customer rating[high], familyFriendly[yes], near[Café Sicilia]",The Cricketers is a children friendly restaurant near Café Sicilia with a high customer rating.,The Cricketers is a high rated restaurant near Café Sicilia. It is children friendly.,n,n,n,n,n,n,n,
"name[Green Man], eatType[restaurant], food[Japanese], area[city centre], familyFriendly[no], near[Express by Holiday Inn]","Green Man is a restaurant that isn't family-friendly, serves Japanese food near to the Express by Holiday Inn in the City centre",The Green Man is a Japanese restaurant located in the city centre near Express by Holiday Inn. It is not family-friendly.,n,n,n,n,n,s,n,the
"name[Zizzi], eatType[pub], near[The Sorrento]",Close to The Sorrento you will be able to find a pub called Zizzi,Zizzi is a pub located near The Sorrento.,n,n,n,n,n,n,n,
"name[Wildwood], eatType[restaurant], food[Italian], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]",Wildwood is a family oriented restaurant that serves Italian food. It is located Near Raja Indian Cuisine in City Centre.,The Wildwood restaurant is located in the city centre near Raja Indian Cuisine. It is a family-friendly Italian restaurant.,n,n,n,n,n,n,n,
"name[Giraffe], eatType[coffee shop], near[The Rice Boat]",Near The Rice Boat you can visit coffee shop called Giraffe.,Giraffe is a coffee shop near The Rice Boat.,n,n,n,n,n,n,n,
"name[Wildwood], eatType[pub], food[Italian], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]",Wildwood near Raja Indian Cuisine in the riverside area is a child friendly Italian pub,"The Italian pub, The Wrestlers, is located in the riverside area near Raja Indian Cuisine and is child friendly.",n,n,n,n,n,n,n,
"name[Blue Spice], eatType[pub], area[riverside]",There is a pub Blue Spice in the riverside area.,Blue Spice is a pub in the riverside area.,n,n,n,n,n,n,n,
"name[The Cricketers], eatType[restaurant], customer rating[5 out of 5], familyFriendly[no], near[Crowne Plaza Hotel]","The Cricketers, a highly rated restaurant near Crowne Plaza Hotel, is not family-friendly.",The Cricketers is a restaurant located near the Crowne Plaza Hotel. It is not family - friendly and has a customer rating of 5 out of 5.,n,n,n,n,n,s,n,
"name[Wildwood], eatType[pub], area[riverside]",A pub named Wildwood is located at the riverside.,Wildwood pub is located in the riverside area.,n,n,n,n,n,n,n,
"name[The Punter], eatType[restaurant], food[Italian], priceRange[cheap], customer rating[average], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]",The Punter restaurant is low priced and rated three stars. It is located in the City center close to Rainbow Vegetarian Café. It offers the family fine dining experience.,The Punter restaurant is low priced and rated three stars. It is located in the City center close to Rainbow Vegetarian Café. It offers the family fine dining experience.,n,s,n,n,n,n,n,
"name[Cocum], eatType[pub], customer rating[high], near[Café Sicilia]",pub located near Café Sicilia called Cocum with a high customer rating,pub located near Café Sicilia called Cocum with a high customer rating,n,n,n,n,n,n,s,
"name[The Vaults], eatType[restaurant], food[Indian], priceRange[high], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]","In the high price range, The Vaults is a child friendly restaurant serving Indian food in city centre near Raja Indian Cuisine.","In the high price range, The Vaults is a child friendly restaurant serving Indian food in city centre near Raja Indian Cuisine.",n,n,n,n,n,n,n,
"name[Green Man], eatType[pub], food[Japanese], area[riverside], familyFriendly[no], near[Express by Holiday Inn]","Green Man is a pub serving Japanese food, it's located in the riverside area near Express by Holiday Inn and is not family-friendly.",Green Man is a pub that serves Japanese food in the riverside area near Express by Holiday Inn. It is not family-friendly.,n,n,n,n,n,n,n,
"name[Strada], eatType[coffee shop], customer rating[1 out of 5], near[Rainbow Vegetarian Café]","The customer rated 1 out of 5, Strada is near Rainbow Vegetarian Café.",Strada is a coffee shop near Rainbow Vegetarian Café with a customer rating of 1 out of 5.,n,n,n,n,n,n,n,
"name[The Waterman], eatType[pub], food[Italian], priceRange[less than £20], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]","The Waterman, sited near Raja Indian Cuisine, Luton, is a family-friendly pub serving Italian food at mid-range prices.",The Waterman is a family-friendly pub located in the city centre near Raja Indian Cuisine. It serves Italian food for less than £20.,n,n,n,n,n,n,n,
"name[The Plough], eatType[restaurant], food[Chinese], priceRange[cheap], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]",The Plough is a Chinese restaurant and restaurant in the riverside area near Raja Indian Cuisine. It is family friendly and has cheap pricing.,The Plough is a cheap Chinese restaurant in the riverside area near Raja Indian Cuisine. It is family friendly.,n,n,n,n,n,n,n,
"name[Zizzi], eatType[coffee shop], near[The Sorrento]",Close to The Sorrento you will be able to find a coffee shop called Zizzi,Close to The Sorrento you will be able to find a coffee shop called Zizzi,n,n,n,n,n,n,n,
"name[The Mill], eatType[restaurant], food[English], priceRange[moderate], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]",The Mill is a family friendly mid price range restaurant located near Raja Indian Cuisine.,The Mill is a moderately priced restaurant that serves English food. It is located in the riverside area near Raja Indian Cuisine and is kid friendly.,n,n,n,n,n,n,n,
"name[The Cricketers], eatType[coffee shop], customer rating[low], familyFriendly[yes], near[Ranch]",The Cricketers is a low rated but family friendly coffee shop near Ranch.,The Cricketers is a low rated but family friendly coffee shop near Ranch.,n,n,n,n,n,n,n,
"name[Giraffe], eatType[pub], food[French], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]","Giraffe, a family-friendly pub in the city centre serving French food is located near Raja Indian Cuisine.",The Giraffe is a family - friendly pub located in the city centre near the Raja Indian Cuisine.,n,n,n,s,n,n,n,há menos informação
"name[The Wrestlers], eatType[restaurant], food[Italian], priceRange[more than £30], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]",A restaurant that is kid friendly near Raja Indian Cuisine named The Wrestlers in the riverside area has a price range of more than £30 that serves Italian food.,The Wrestlers is a children friendly Italian restaurant in the riverside area near Raja Indian Cuisine. The price range is more than £30.,n,n,n,n,n,n,n,hypothesis melhor do que reference
"name[Clowns], eatType[pub], customer rating[5 out of 5], near[Crowne Plaza Hotel]",The pub Clowns that is near Crowne Plaza Hotel has ratings of 5 out of 5.,Clowns is a pub near Crowne Plaza Hotel with a customer rating of 5 out of 5.,n,n,n,n,n,n,n,
"name[The Plough], eatType[restaurant], food[Chinese], priceRange[cheap], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]",The Plough is a Chinese restaurant and restaurant in the riverside area near Raja Indian Cuisine. It is family friendly and has cheap pricing.,The Plough is a Chinese restaurant and restaurant in the riverside area near Raja Indian Cuisine. It is family friendly and has cheap pricing.,n,n,n,n,n,n,s,palavra repetida
"name[Cocum], eatType[pub], customer rating[low], near[Express by Holiday Inn]",Cocum is a pub near Express by Holiday Inn with food at low prices.,Cocum is a pub near Express by Holiday Inn with a low customer rating.,n,n,n,n,n,s,n,no reference há informação que não consta no MR
"name[Cocum], eatType[coffee shop], customer rating[low], near[Café Sicilia]","Cocum, a coffee shop with a low customer rating, is near Café Sicilia.",Cocum coffee shop is located near Café Sicilia and has a low customer rating.,n,n,n,n,n,n,n,
"name[Green Man], eatType[pub], customer rating[1 out of 5], near[All Bar One]","Rated 1 out of 5, Green Man pub is near All Bar One.",Green Man is a pub near All Bar One with a customer rating of 1 out of 5.,n,n,n,n,n,n,n,
"name[The Cricketers], eatType[restaurant], customer rating[low], familyFriendly[no], near[Express by Holiday Inn]",Near Express by Holiday Inn there is a restaurant called The Cricketers. It is not family-friendly and has a low customer rating.,The Cricketers is a low rated restaurant located near Express by Holiday Inn. It is not family-friendly.,n,n,n,n,n,n,n,
"name[The Phoenix], eatType[restaurant], food[Indian], priceRange[£20-25], customer rating[high], area[riverside], familyFriendly[yes], near[Crowne Plaza Hotel]","The Phoenix is a restaurant that also serves Indian food priced between £20-25, located near Crowne Plaza Hotel on the riverside. It's customer rating is high, and the establishment is kids friendly.",The Phoenix is a restaurant providing Indian food in the £20-25 price range. It is located in the riverside. It is near Crowne Plaza Hotel. Its customer rating is high.,n,n,n,n,n,n,n,há problemas no Reference
"name[Wildwood], eatType[restaurant], food[Italian], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]",Wildwood is a family oriented restaurant that serves Italian food. It is located Near Raja Indian Cuisine in City Centre.,There is a family-friendly Italian restaurant in the city centre near Raja Indian Cuisine called Wildwood.,n,n,n,n,n,n,n,há problemas no Reference
"name[The Mill], eatType[pub], food[English], priceRange[more than £30], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]",Located at riverside near Raja Indian Cuisine there is a pub called The Mill that serves English food that has a price range of more than £30 and a children friendly place.,The Mill is a children friendly pub in the riverside area near Raja Indian Cuisine. It serves English food for more than £30.,n,n,n,n,n,n,n,há problemas no Reference
"name[The Cricketers], eatType[restaurant], customer rating[low], familyFriendly[no], near[Express by Holiday Inn]",Near Express by Holiday Inn there is a restaurant called The Cricketers. It is not family-friendly and has a low customer rating.,Near Express by Holiday Inn there is a restaurant called The Cricketers. It is not family-friendly and has a low customer rating.,n,n,n,n,n,n,n,
"name[The Cricketers], eatType[coffee shop], customer rating[average], familyFriendly[no], near[Crowne Plaza Hotel]","An average rating, The Cricketers, which is near the Crowne Plaza Hotel is not a family-friendly coffee shop.",The Cricketers is a coffee shop near Crowne Plaza Hotel. It has an average customer rating and is not family - friendly.,n,n,n,n,n,n,n,há problemas no Reference
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[high], customer rating[average], area[riverside], familyFriendly[yes], near[All Bar One]","A restaurant named The Cricketers is located by All Bar One in riverside. It serves expensive Chinese food, is child friendly and has average customer reviews.","A restaurant named The Cricketers is located by All Bar One in riverside. It serves expensive Chinese food, is child friendly and has average customer reviews.",n,n,n,n,n,n,n,
"name[The Wrestlers], eatType[pub], food[Japanese], priceRange[more than £30], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]",The Wrestlers is a pub that offers Japanese food for more than £30. It is located in the city centre near Raja Indian Cuisine and is not child friendly.,The Wrestlers is a Japanese pub located in the city centre near Raja Indian Cuisine. It is not children friendly and has a price range of more than £30.,n,n,n,n,n,n,n,
"name[Wildwood], eatType[pub], food[Italian], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]",Wildwood is a family oriented pub that serves Italian food. It is located Near Raja Indian Cuisine in City Centre.,Wildwood is a family oriented pub that serves Italian food. It is located Near Raja Indian Cuisine in City Centre.,n,n,n,n,n,n,n,
"name[Cotto], eatType[coffee shop], near[The Bakers]",next to The Bakers resides a coffee shop by the name of Cotto.,Cotto is a coffee shop near The Portland Arms. It has a high price range.,n,s,n,n,s,n,n,problema no Reference            
"name[The Waterman], eatType[restaurant], food[Indian], priceRange[less than £20], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]","In the riverside area near Raja Indian Cuisine is, The Waterman. A restaurant serving Indian food. A not so family friendly restaurant with meals less than £20.",The Waterman is a restaurant providing Indian food in the less than £20 price range. It is located in the riverside. It is near Raja Indian Cuisine.,n,n,n,n,n,n,n,problema no Reference            
"name[The Cricketers], eatType[restaurant], customer rating[low], familyFriendly[yes], near[Ranch]",The Cricketers is a low rated but family friendly restaurant near Ranch.,The Cricketers is a family friendly restaurant located near Ranch. It has a low customer rating.,n,n,n,n,n,n,n,
"name[The Phoenix], eatType[pub], food[French], priceRange[more than £30], customer rating[low], area[riverside], familyFriendly[yes], near[Crowne Plaza Hotel]",There is an expensive-priced pub located close to Crowne Plaza Hotel called The Phoenix.,The Phoenix is a pub that serves French food. It is located in the riverside area near Crowne Plaza Hotel. It is children friendly and has a low customer rating.,n,n,n,n,n,n,n,children friendly = family friendly?
"name[Wildwood], eatType[restaurant], food[Italian], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]","Wildwood is a non family-friendly, Italian restaurant near Raja Indian Cuisine in the city center.",The Wildwood restaurant is located in the city centre near Raja Indian Cuisine. It is not family-friendly and serves Italian food.,n,n,n,n,n,n,n,
"name[The Cricketers], eatType[coffee shop], customer rating[high], familyFriendly[yes], near[Café Sicilia]",The Cricketers is a children friendly coffee shop near Café Sicilia with a high customer rating.,The Cricketers is a coffee shop near Café Sicilia. It is children friendly and has a high customer rating.,n,n,n,n,n,n,n,
"name[The Cricketers], eatType[restaurant], customer rating[3 out of 5], familyFriendly[yes], near[Crowne Plaza Hotel]",The Cricketers is a kid friendly restaurant that is located near Crowne Plaza Hotel. It has a 3 out of 5 customer rating.,The Cricketers is a kid friendly restaurant near Crowne Plaza Hotel. It has a customer rating of 3 out of 5.,n,n,n,n,n,n,n,
"name[The Mill], eatType[pub], food[English], priceRange[moderate], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]",There is a moderately priced English food pub called The Mill that is kid friendly near Raja Indian Cuisine in the city centre.,The Mill is a kid friendly pub in the city centre near Raja Indian Cuisine. It serves English food and has a moderate price range.,n,n,n,n,n,n,n,has a .... range
"name[The Punter], eatType[restaurant], food[Italian], priceRange[£20-25], customer rating[high], area[city centre], familyFriendly[no], near[Express by Holiday Inn]","The Punter, near Express by Holiday Inn is an Italian restaurant with a price range of £20-25, and was given a high customer rating but is not kid-friendly.",The Punter is a Italian restaurant located in the city centre near the Express by Holiday Inn. It has a high customer rating and is not kid friendly. Price range is £20 - 25.,n,n,n,n,n,n,n,
"name[Clowns], eatType[coffee shop], customer rating[5 out of 5], near[Crowne Plaza Hotel]",The coffee shop Clowns that is near Crowne Plaza Hotel has ratings of 5 out of 5.,Clowns is a coffee shop near Crowne Plaza Hotel with a customer rating of 5 out of 5.,n,n,n,n,n,n,n,
"name[Zizzi], eatType[coffee shop], customer rating[high], near[Burger King]",Near Burger King is a highly rated coffee shop called Zizzi.,Near Burger King is a highly rated coffee shop called Zizzi.,n,n,n,n,n,n,n,
"name[The Wrestlers], eatType[restaurant], food[Japanese], priceRange[high], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]",There is a high price range Japanese restaurant in Riverside near Raja Indian Cuisine that is child friendly called The Wrestlers,There is a high price range Japanese restaurant in Riverside near Raja Indian Cuisine that is child friendly called The Wrestlers,n,n,n,n,n,n,n,
"name[Strada], eatType[pub], customer rating[low], near[Express by Holiday Inn]",Strada pub has a low customer Rating and is located near Express by Holiday Inn.,Strada is a pub near Express by Holiday Inn with a low customer rating.,n,n,n,n,n,n,n,
"name[The Phoenix], eatType[pub], food[French], priceRange[less than £20], customer rating[average], area[riverside], familyFriendly[no], near[Crowne Plaza Hotel]","The Phoenix is a French pub near Crowne Plaza Hotel. This coffee ship is family-friendly, has average customer ratings, and average prices.",The Phoenix is a pub located near Crowne Plaza Hotel in the riverside area. It serves French food for less than £20. It is not family-friendly and has an average customer rating.,n,n,n,n,n,n,n,
"name[Blue Spice], eatType[coffee shop], customer rating[average], near[Crowne Plaza Hotel]",Crowne Plaza Hotel has a coffee shop nearby with an average customer rating called Blue Spice.,Blue Spice is a coffee shop near Crowne Plaza Hotel. It has an average customer rating.,n,n,n,n,n,n,n,
"name[Giraffe], eatType[coffee shop], near[The Bakers]",A coffee shop named Giraffe is near The Bakers.,Giraffe is a coffee shop near The Bakers.,n,n,n,n,n,n,n,
"name[Strada], eatType[pub], customer rating[low], near[Express by Holiday Inn]",Strada pub has a low customer Rating and is located near Express by Holiday Inn.,Strada is a pub near Express by Holiday Inn with a low customer rating.,n,n,n,n,n,n,n,
"name[The Punter], eatType[pub], food[Chinese], priceRange[moderate], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]",The Punter is a moderately priced kid friendly Chinese pub in they city centre near Raja Indian Cuisine.,The Punter is a pub that serves Chinese food in the moderate price range. It is located in the city centre near the Raja Indian Cuisine and is kid friendly.,n,n,n,n,n,n,n,
"name[Blue Spice], eatType[coffee shop], area[riverside]",There is a coffee shop Blue Spice in the riverside area.,Blue Spice is a coffee shop in the riverside area.,n,n,n,n,n,n,n,
"name[Strada], eatType[pub], customer rating[1 out of 5], near[Rainbow Vegetarian Café]","The customer rated 1 out of 5, Strada is near Rainbow Vegetarian Café.",Strada is a pub near Rainbow Vegetarian Café with a customer rating of 1 out of 5.,n,n,n,n,n,n,n,
"name[Green Man], eatType[restaurant], food[Japanese], area[riverside], familyFriendly[no], near[Express by Holiday Inn]","Green Man is a restaurant serving Japanese food, it's located in the riverside area near Express by Holiday Inn and is not family-friendly.",The Green Man is a Japanese restaurant located near the Express by Holiday Inn in the riverside area. It is not family - friendly.,n,n,n,n,n,n,n,
"name[Strada], eatType[coffee shop], area[city centre]",There is a coffee shop in the city centre called the Strada.,Strada is a coffee shop located in the city centre.,n,n,n,n,n,n,n,
"name[The Cricketers], eatType[coffee shop], customer rating[high], familyFriendly[yes], near[Café Sicilia]",The Cricketers is a children friendly coffee shop near Café Sicilia with a high customer rating.,The Cricketers is a children friendly coffee shop near Café Sicilia with a high customer rating.,n,n,n,n,n,n,n,
"name[The Vaults], eatType[pub], food[Japanese], priceRange[cheap], customer rating[5 out of 5], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]","The Vaults is a highly rated, family friendly, Japanese pub along the riverside and near Raja Indian Cuisine.","The Vaults is a cheap, family friendly Japanese pub in the riverside area near Raja Indian Cuisine. It has a 5 out of 5 customer rating.",n,n,n,n,n,n,n,
"name[Cocum], eatType[coffee shop], customer rating[low], near[Express by Holiday Inn]",Cocum is a coffee shop near Express by Holiday Inn with food at low prices.,Cocum is a coffee shop near Express by Holiday Inn with a low customer rating.,n,n,n,n,n,n,n,
"name[The Vaults], eatType[pub], food[French], priceRange[moderate], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]",The Vaults pub serves French food in the City Centre near Raja Indian Cuisine and is moderately priced,The Vaults pub serves French food in the City Centre near Raja Indian Cuisine and is moderately priced,n,n,n,n,n,n,n,
"name[Zizzi], eatType[pub], near[The Sorrento]",Close to The Sorrento you will be able to find a pub called Zizzi,Zizzi is a pub near The Sorrento.,n,n,n,n,n,n,n,
"name[Green Man], eatType[pub], customer rating[1 out of 5], near[All Bar One]","Rated 1 out of 5, Green Man pub is near All Bar One.",Green Man is a pub near All Bar One. It has a customer rating of 1 out of 5.,n,n,n,n,n,n,n,
"name[The Cricketers], eatType[restaurant], food[English], priceRange[high], customer rating[1 out of 5], area[city centre], familyFriendly[no], near[Café Rouge]",The Cricketers is a not so Children Friendly English restaurant located in the city centre which has a high price range and customer rating of 1 out of 5 near Café Rouge,The Cricketers is a high priced English restaurant in the city centre near Café Rouge. It is not children friendly and has a customer rating of 1 out of 5.,n,n,n,n,n,n,n,
"name[The Wrestlers], eatType[restaurant], food[Japanese], priceRange[less than £20], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]","Situated close to Raja Indian Cuisine is The Wrestlers, a Japanese style restaurant that serves dishes for under twenty pound.",The Wrestlers is a family friendly Japanese restaurant in the riverside area near Raja Indian Cuisine. It has a price range of less than £20.,n,n,n,n,n,n,n,
"name[Zizzi], eatType[coffee shop], customer rating[average], near[Burger King]","Close by Burger King, is Zizzi. An average rated coffee shop.",Zizzi is a coffee shop near Burger King with an average customer rating.,n,n,n,n,n,n,n,
