,MR,Hypothesis,Incorrect Number,Incorrect Named Entity,Incorrect Word,Context Error,Not checkable,Other,Fluency problem
74,"[DEFORESTATION_DAILY] [INTENTS] CAUSE(area=""1578.87"",cause=""DESMATAMENTO_CR"",location=""deter-amz"",month=""7"",year=""2020"") [HISTORY] Compared to the previous month, deforestation increased by 59.05%.", <VERB> <VERB> <VERB> <VERB> <VERB> <VERB> <VERB> <VERB> <VERB> <VERB> <VERB> <VERB> <VER,,,,,,,
75,"[DEFORESTATION_DAILY] [INTENTS] CAUSE(area=""1578.87"",cause=""DESMATAMENTO_CR"",location=""deter-amz"",month=""7"",year=""2020"") [HISTORY] Compared to the previous month, deforestation increased by 59.05%.","The main cause of destruction of the Amazon in the month (1,578.87 sq km) was clear-cutting, which removes all vegetation coverage from the soil.",,,,,,,
76,"[DEFORESTATION_DAILY] [INTENTS] TOTAL_DEFORESTATION(UC=""FLORESTA NACIONAL DO JAMANXIM"",area=""21.75"",city=""Novo Progresso,Itaituba"",location=""deter-amz"",month=""7"",state=""PA"",year=""2020"") [HISTORY] [PARAGRAPH]","The National Institute for Space Research (INPE) reported that deforestation amounted to one hundred and twenty-six sq km in the state of Pará, in the state of Pará, in January two thousand and twenty-one.",,,,,,,
77,"[DEFORESTATION_MONTH] [INTENTS] TOTAL_DEFORESTATION(area=""177.84"",location=""deter-amz"",month=""4"",state=""PA"",year=""2021"") [SEP] TOTAL_DEFORESTATION(area=""51.07"",city=""Altamira"",location=""deter-amz"",month=""4"",state=""PA"",year=""2021"") [HISTORY] [PARAGRAPH]",The,,,,,,,
78,"[DEFORESTATION_MONTH] [INTENTS] TOTAL_DEFORESTATION(area=""1659.45"",location=""deter-amz"",month=""7"",year=""2020"") [HISTORY] [PARAGRAPH]"," The National Institute for Space Research (INPE) reported that in the month of December, there were approximately 1.5 million sq km of deforested land in the",,,,,,,
79,"[DEFORESTATION_MONTH] [INTENTS] TOTAL_DEFORESTATION(UC=""FLORESTA NACIONAL DO JAMANXIM"",area=""35.93"",city=""Novo Progresso,Itaituba"",location=""deter-amz"",month=""4"",state=""PA"",year=""2021"") [HISTORY] [PARAGRAPH]","The Jamanxim National Forest, in the state of Pará, was the most devastated Nature Protected Area in March, where 35.93 sq km were cleared of vegetation.",,,,,,,
80,"[DEFORESTATION_DAILY] [INTENTS] TOTAL_DEFORESTATION(area=""1659.45"",location=""deter-amz"",month=""7"",year=""2020"") [HISTORY] [PARAGRAPH]","According to the National Institute for Space Research (INPE), one hundred and sixty-nine point five five sq km of forestland were deforested in the Legal Amazon in July two thousand and twenty.",,,,,,,
81,"[DEFORESTATION_DAILY] [INTENTS] TOTAL_DEFORESTATION(area=""116.33"",city=""Labrea"",location=""deter-amz"",month=""7"",state=""AM"",year=""2020"") [HISTORY] Pará was the most affected state, where 685.97 sq km were deforested.","Labrea was the most affected municipality (116.33 sq km) in the month, where 116.33 sq km were deforested.",,,,,,,
82,"[DEFORESTATION_MONTH] [INTENTS] CAUSE(area=""1578.87"",cause=""DESMATAMENTO_CR"",location=""deter-amz"",month=""7"",year=""2020"") [HISTORY] Compared to the previous month, deforestation increased by 59.05%.","The main class of deforestation was clear-cutting, which removes all vegetation, responsible for 1,578.87 sq km of deforested area.",,,,,,,
83,"[DEFORESTATION_MONTH] [INTENTS] TOTAL_DEFORESTATION(area=""177.84"",location=""deter-amz"",month=""4"",state=""PA"",year=""2021"") [SEP] TOTAL_DEFORESTATION(area=""51.07"",city=""Altamira"",location=""deter-amz"",month=""4"",state=""PA"",year=""2021"") [HISTORY] [PARAGRAPH]","The most affected state and municipality were respectively Pará (177.84 sq km) and Altamira, in the state of Pará (51.07 sq km).",,,,,,,
84,"[DEFORESTATION_DAILY] [INTENTS] TOTAL_DEFORESTATION(area=""177.84"",location=""deter-amz"",month=""4"",state=""PA"",year=""2021"") [SEP] TOTAL_DEFORESTATION(area=""51.07"",city=""Altamira"",location=""deter-amz"",month=""4"",state=""PA"",year=""2021"") [HISTORY] [PARAGRAPH]","The National Institute for Space Research (INPE) in Paraná, Paraná, Paraná, Paraná, Paraná, Paraná, Paraná, Paraná, Paraná, Paraná, Paraná, Paraná, Paraná, Paraná, Paraná, Paraná, Paraná, Paraná, Paraná, Paraná, Paraná, Paraná, Paraná, Paraná, Paraná, Paraná, Paraná, Paraná, Paraná, Paraná, Paraná, Paraná, Paraná, Paraná, Paraná, Paraná, Paran <VERB",,,,,,,
85,"[DEFORESTATION_MONTH] [INTENTS] CAUSE(area=""1578.87"",cause=""DESMATAMENTO_CR"",location=""deter-amz"",month=""7"",year=""2020"") [HISTORY] Compared to the previous month, deforestation increased by 59.05%.","The main cause of deforestation was clear-cutting, which removes all vegetation of the soil, responsible for one hundred and 7ty-eight point eight 7 sq km of deforested area.",,,,,,,
86,"[DEFORESTATION_MONTH] [INTENTS] TOTAL_DEFORESTATION(area=""1659.45"",location=""deter-amz"",month=""7"",year=""2020"") [HISTORY] [PARAGRAPH]","According to the National Institute for Space Research (INPE), 1,659.45 sq km were chopped out of the legal Amazon in July 2020.",,,,,,,
87,"[DEFORESTATION_MONTH] [INTENTS] LAST_MONTH_VARIATION_DEFORESTATION(location=""deter-amz"",month=""7"",variation=""59.05"",year=""2020"") [HISTORY] An area of approximately 1,659.45 sq km was deforested in the Legal Amazon, in July 2020, according to the National Institute for Space Research (INPE).","Compared to the previous month, deforestation increased by 59.05%.",,,,,,,
88,"[DEFORESTATION_DAILY] [INTENTS] TOTAL_DEFORESTATION(area=""322.91"",location=""deter-amz"",month=""4"",year=""2021"") [HISTORY] [PARAGRAPH]",The National Institute for Space Research (INPE) reported that 322.91 sq km of land were deforested in the Legal Amazon in April 2020.,,,,,,,
89,"[DEFORESTATION_MONTH] [INTENTS] TOTAL_DEFORESTATION(area=""685.97"",location=""deter-amz"",month=""7"",state=""PA"",year=""2020"") [HISTORY] [PARAGRAPH]", <VERBAL,,,,,,,
90,"[DEFORESTATION_MONTH] [INTENTS] TOTAL_DEFORESTATION(UC=""FLORESTA NACIONAL DO JAMANXIM"",area=""21.75"",city=""Novo Progresso,Itaituba"",location=""deter-amz"",month=""7"",state=""PA"",year=""2020"") [HISTORY] [PARAGRAPH]","The Nature Protected Area where there was the most deforestation was the Jamanxim National Forest, state of Pará, where 21.75 sq km of forest were chopped out.",,,,,,,
91,"[DEFORESTATION_DAILY] [INTENTS] TOTAL_DEFORESTATION(area=""685.97"",location=""deter-amz"",month=""7"",state=""PA"",year=""2020"") [HISTORY] [PARAGRAPH]", <VERB,,,,,,,
92,"[DEFORESTATION_MONTH] [INTENTS] CAUSE(area=""312.44"",cause=""DESMATAMENTO_CR"",location=""deter-amz"",month=""4"",year=""2021"") [HISTORY] In April 2021, 322.91 sq km of the the Legal Amazon were deforested, according to data from the National Institute for Space Research (INPE).", <VERB> <VERB> <VERB> <VERB> <VERB> <VERB> <VERB> <VER,,,,,,,
93,"[DEFORESTATION_DAILY] [INTENTS] TOTAL_DEFORESTATION(area=""177.84"",location=""deter-amz"",month=""4"",state=""PA"",year=""2021"") [SEP] TOTAL_DEFORESTATION(area=""51.07"",city=""Altamira"",location=""deter-amz"",month=""4"",state=""PA"",year=""2021"") [HISTORY] [PARAGRAPH]",The most affected state and municipality were respectively Pará (177.84 sq km) and Altamira (51.07 sq km).,,,,,,,
94,"[DEFORESTATION_MONTH] [INTENTS] TOTAL_DEFORESTATION(UC=""FLORESTA NACIONAL DO JAMANXIM"",area=""35.93"",city=""Novo Progresso,Itaituba"",location=""deter-amz"",month=""4"",state=""PA"",year=""2021"") [HISTORY] [PARAGRAPH]", <VERB> The National Institute for,,,,,,,
95,"[DEFORESTATION_MONTH] [INTENTS] TOTAL_DEFORESTATION(UC=""FLORESTA NACIONAL DO JAMANXIM"",area=""21.75"",city=""Novo Progresso,Itaituba"",location=""deter-amz"",month=""7"",state=""PA"",year=""2020"") [HISTORY] [PARAGRAPH]","The Nature Protected Area where there was the most deforestation was the Jamanxim National Forest, in the state of Pará, where 21.75 sq km of forest were chopped out.",,,,,,,
96,"[DEFORESTATION_DAILY] [INTENTS] TOTAL_DEFORESTATION(UC=""FLORESTA NACIONAL DO JAMANXIM"",area=""35.93"",city=""Novo Progresso,Itaituba"",location=""deter-amz"",month=""4"",state=""PA"",year=""2021"") [HISTORY] [PARAGRAPH]","The Nature Protected Area where there was the most deforestation was the Jamanxim National Forest, in the state of Pará, where 35.93 sq km of forest were chopped out.",,,,,,,
97,"[DEFORESTATION_MONTH] [INTENTS] TOTAL_DEFORESTATION(area=""685.97"",location=""deter-amz"",month=""7"",state=""PA"",year=""2020"") [HISTORY] [PARAGRAPH]","Pará, where 685.97 sq km of forest were chopped of.",,,,,,,
98,"[DEFORESTATION_MONTH] [INTENTS] CAUSE(area=""312.44"",cause=""DESMATAMENTO_CR"",location=""deter-amz"",month=""4"",year=""2021"") [HISTORY] In April 2021, 322.91 sq km of the the Legal Amazon were deforested, according to data from the National Institute for Space Research (INPE).","The main cause of deforestation was clear-cut deforestation, which leaves the soil clear of vegetation, responsible for 312.44 sq km of deforested area.",,,,,,,
99,"[DEFORESTATION_DAILY] [INTENTS] TOTAL_DEFORESTATION(area=""116.33"",city=""Labrea"",location=""deter-amz"",month=""7"",state=""AM"",year=""2020"") [HISTORY] Pará was the most affected state, where 685.97 sq km were deforested.",Lab was the most affected municipality (116.33 sq km).,,,,,,,
100,"[DEFORESTATION_DAILY] [INTENTS] TOTAL_DEFORESTATION(area=""1659.45"",location=""deter-amz"",month=""7"",year=""2020"") [HISTORY] [PARAGRAPH]","The National Institute for Space Research (INPE) reported that 1,659.45 sq km of forestland were deforested in the Legal Amazon in July two thousand and twenty.",,,,,,,
101,"[DEFORESTATION_MONTH] [INTENTS] TOTAL_DEFORESTATION(area=""177.84"",location=""deter-amz"",month=""4"",state=""PA"",year=""2021"") [SEP] TOTAL_DEFORESTATION(area=""51.07"",city=""Altamira"",location=""deter-amz"",month=""4"",state=""PA"",year=""2021"") [HISTORY] [PARAGRAPH]","The most affected state and municipality were respectively Pará (177.84 sq km) and Altamira, in the state of Pará (51.07 sq km).",,,,,,,
102,"[DEFORESTATION_DAILY] [INTENTS] CAUSE(area=""312.44"",cause=""DESMATAMENTO_CR"",location=""deter-amz"",month=""4"",year=""2021"") [HISTORY] In April 2021, 322.91 sq km of the the Legal Amazon were deforested, according to data from the National Institute for Space Research (INPE).","The main cause of deforestation was the destruction of vegetation, which leaves the soil clear of vegetation, which leaves the soil clear of vegetation.",,,,,,,
103,"[DEFORESTATION_MONTH] [INTENTS] TOTAL_DEFORESTATION(area=""177.84"",location=""deter-amz"",month=""4"",state=""PA"",year=""2021"") [SEP] TOTAL_DEFORESTATION(area=""51.07"",city=""Altamira"",location=""deter-amz"",month=""4"",state=""PA"",year=""2021"") [HISTORY] [PARAGRAPH]",Pará was the state with the highest deforestation rate (177.84 sq km) in the observation period.,,,,,,,
104,"[DEFORESTATION_DAILY] [INTENTS] TOTAL_DEFORESTATION(area=""685.97"",location=""deter-amz"",month=""7"",state=""PA"",year=""2020"") [HISTORY] [PARAGRAPH]","Pará was the most affected state, where 685.97 sq km were deforested.",,,,,,,
105,"[DEFORESTATION_DAILY] [INTENTS] CAUSE(area=""312.44"",cause=""DESMATAMENTO_CR"",location=""deter-amz"",month=""4"",year=""2021"") [HISTORY] In April 2021, 322.91 sq km of the the Legal Amazon were deforested, according to data from the National Institute for Space Research (INPE).","The main cause of deforestation was clear-cut deforestation, which leaves the soil clear of vegetation, responsible for 312.44 sq km of deforested area.",,,,,,,
106,"[DEFORESTATION_MONTH] [INTENTS] CAUSE(area=""1578.87"",cause=""DESMATAMENTO_CR"",location=""deter-amz"",month=""7"",year=""2020"") [HISTORY] Compared to the previous month, deforestation increased by 59.05%.","Most of the deforested area (1,578.87 sq km) was a result of clear-cutting, which removes all vegetation coverage from the soil.",,,,,,,
107,"[DEFORESTATION_MONTH] [INTENTS] TOTAL_DEFORESTATION(UC=""FLORESTA NACIONAL DO JAMANXIM"",area=""21.75"",city=""Novo Progresso,Itaituba"",location=""deter-amz"",month=""7"",state=""PA"",year=""2020"") [HISTORY] [PARAGRAPH]","The Nature Protected Area where there was the most deforestation was the Jamanxim National Forest, in the state of Pará, where 21.75 sq km of forest were lost.",,,,,,,
108,"[DEFORESTATION_MONTH] [INTENTS] TOTAL_DEFORESTATION(UC=""FLORESTA NACIONAL DO JAMANXIM"",area=""35.93"",city=""Novo Progresso,Itaituba"",location=""deter-amz"",month=""4"",state=""PA"",year=""2021"") [HISTORY] [PARAGRAPH]","The Nature Protected Area where there was the most deforestation was the Jamanxim National Forest, state of Pará, where 35.93 sq km of forest were chopped out.",,,,,,,
109,"[DEFORESTATION_DAILY] [INTENTS] TOTAL_DEFORESTATION(area=""1659.45"",location=""deter-amz"",month=""7"",year=""2020"") [HISTORY] [PARAGRAPH]", The National Institute for Space Research (INPE) reported that in January the area of the most affected state was,,,,,,,
110,"[DEFORESTATION_DAILY] [INTENTS] TOTAL_DEFORESTATION(UC=""FLORESTA NACIONAL DO JAMANXIM"",area=""21.75"",city=""Novo Progresso,Itaituba"",location=""deter-amz"",month=""7"",state=""PA"",year=""2020"") [HISTORY] [PARAGRAPH]","The Nature Protected Area where there was the most deforestation was the Jamanxim National Forest, in the state of Pará, where 21.75 sq km of forest were chopped out.",,,,,,,
111,"[DEFORESTATION_MONTH] [INTENTS] TOTAL_DEFORESTATION(area=""177.84"",location=""deter-amz"",month=""4"",state=""PA"",year=""2021"") [SEP] TOTAL_DEFORESTATION(area=""51.07"",city=""Altamira"",location=""deter-amz"",month=""4"",state=""PA"",year=""2021"") [HISTORY] [PARAGRAPH]","The National Institute for Space Research (INPE) reported that deforestation amounted to one hundred and twenty-six sq km in the state of Pará, in the state of Pará, in April two thousand and twenty-one.",,,,,,,
112,"[DEFORESTATION_MONTH] [INTENTS] TOTAL_DEFORESTATION(area=""322.91"",location=""deter-amz"",month=""4"",year=""2021"") [HISTORY] [PARAGRAPH]",The National Institute for Space Research (INPE) estimated that deforestation of the Legal Amazon amounted to 322.91 sq km in April 2021.,,,,,,,
113,"[DEFORESTATION_DAILY] [INTENTS] TOTAL_DEFORESTATION(area=""116.33"",city=""Labrea"",location=""deter-amz"",month=""7"",state=""AM"",year=""2020"") [HISTORY] Pará was the most affected state, where 685.97 sq km were deforested.",Labrea was the most affected municipality (116.33 sq km).,,,,,,,
114,"[DEFORESTATION_DAILY] [INTENTS] TOTAL_DEFORESTATION(UC=""FLORESTA NACIONAL DO JAMANXIM"",area=""35.93"",city=""Novo Progresso,Itaituba"",location=""deter-amz"",month=""4"",state=""PA"",year=""2021"") [HISTORY] [PARAGRAPH]","The Jamanxim National Forest, in the state of Pará, where deforestation amounted to forty-five point nine three sq km, was the most affected Nature Protected Area in April, where deforestation amounted to forty-five point nine three sq km.",,,,,,,
115,"[DEFORESTATION_MONTH] [INTENTS] TOTAL_DEFORESTATION(area=""685.97"",location=""deter-amz"",month=""7"",state=""PA"",year=""2020"") [HISTORY] [PARAGRAPH]","Pará was the most affected state, where 685.97 sq km were deforested.",,,,,,,
116,"[DEFORESTATION_MONTH] [INTENTS] TOTAL_DEFORESTATION(area=""116.33"",city=""Labrea"",location=""deter-amz"",month=""7"",state=""AM"",year=""2020"") [HISTORY] Pará was the most affected state, where 685.97 sq km were deforested.",Lab was the most affected municipality (116.33 sq km).,,,,,,,
117,"[DEFORESTATION_DAILY] [INTENTS] TOTAL_DEFORESTATION(UC=""FLORESTA NACIONAL DO JAMANXIM"",area=""21.75"",city=""Novo Progresso,Itaituba"",location=""deter-amz"",month=""7"",state=""PA"",year=""2020"") [HISTORY] [PARAGRAPH]","The Nature Protected Area where there was the most deforestation was the Jamanxim National Forest, in the state of Pará, where 21.75 sq km of forest were chopped out.",,,,,,,
118,"[DEFORESTATION_DAILY] [INTENTS] TOTAL_DEFORESTATION(UC=""FLORESTA NACIONAL DO JAMANXIM"",area=""35.93"",city=""Novo Progresso,Itaituba"",location=""deter-amz"",month=""4"",state=""PA"",year=""2021"") [HISTORY] [PARAGRAPH]","The Nature Protected Area where there was the most deforestation was the Jamanxim National Forest, in the state of Pará, where 35.93 sq km of forest were chopped of.",,,,,,,
119,"[DEFORESTATION_DAILY] [INTENTS] CAUSE(area=""312.44"",cause=""DESMATAMENTO_CR"",location=""deter-amz"",month=""4"",year=""2021"") [HISTORY] In April 2021, 322.91 sq km of the the Legal Amazon were deforested, according to data from the National Institute for Space Research (INPE).","The main cause of deforestation was clear-cut deforestation, which leaves the soil clear of vegetation, responsible for 312.44 sq km of deforested area.",,,,,,,
120,"[DEFORESTATION_DAILY] [INTENTS] TOTAL_DEFORESTATION(UC=""FLORESTA NACIONAL DO JAMANXIM"",area=""21.75"",city=""Novo Progresso,Itaituba"",location=""deter-amz"",month=""7"",state=""PA"",year=""2020"") [HISTORY] [PARAGRAPH]","The Jamanxim National Forest, in the state of Pará, where deforestation amounted to 21.75 sq km, was the most affected Nature Protected Area in July, according to data from the National Institute for Space Research (INPE).",,,,,,,
121,"[DEFORESTATION_MONTH] [INTENTS] LAST_MONTH_VARIATION_DEFORESTATION(location=""deter-amz"",month=""7"",variation=""59.05"",year=""2020"") [HISTORY] An area of approximately 1,659.45 sq km was deforested in the Legal Amazon, in July 2020, according to the National Institute for Space Research (INPE).","Compared to the previous month, deforestation increased by 59.05 percent.",,,,,,,
122,"[DEFORESTATION_DAILY] [INTENTS] CAUSE(area=""312.44"",cause=""DESMATAMENTO_CR"",location=""deter-amz"",month=""4"",year=""2021"") [HISTORY] In April 2021, 322.91 sq km of the the Legal Amazon were deforested, according to data from the National Institute for Space Research (INPE).", The National Institute for,,,,,,,
123,"[DEFORESTATION_DAILY] [INTENTS] TOTAL_DEFORESTATION(area=""685.97"",location=""deter-amz"",month=""7"",state=""PA"",year=""2020"") [HISTORY] [PARAGRAPH]","Pará was the most affected state, where 685.97 sq km were deforested.",,,,,,,
124,"[DEFORESTATION_MONTH] [INTENTS] TOTAL_DEFORESTATION(UC=""FLORESTA NACIONAL DO JAMANXIM"",area=""21.75"",city=""Novo Progresso,Itaituba"",location=""deter-amz"",month=""7"",state=""PA"",year=""2020"") [HISTORY] [PARAGRAPH]","The Nature Protected Area where there was the most deforestation was the Jamanxim National Forest, in the state of Pará, where 21.75 sq km of forest were chopped of.",,,,,,,
125,"[DEFORESTATION_DAILY] [INTENTS] TOTAL_DEFORESTATION(area=""1659.45"",location=""deter-amz"",month=""7"",year=""2020"") [HISTORY] [PARAGRAPH]","The National Institute for Space Research (INPE) reported that deforestation increased by 1,9percent in the legal Amazon in July two thousand and twenty-one.",,,,,,,
126,"[DEFORESTATION_MONTH] [INTENTS] TOTAL_DEFORESTATION(area=""116.33"",city=""Labrea"",location=""deter-amz"",month=""7"",state=""AM"",year=""2020"") [HISTORY] Pará was the most affected state, where 685.97 sq km were deforested.",Labrea was the most affected municipality (116.33 sq km).,,,,,,,
127,"[DEFORESTATION_DAILY] [INTENTS] TOTAL_DEFORESTATION(area=""685.97"",location=""deter-amz"",month=""7"",state=""PA"",year=""2020"") [HISTORY] [PARAGRAPH]","Pará was the most affected state, where 685.97 sq km were deforested.",,,,,,,
128,"[DEFORESTATION_MONTH] [INTENTS] CAUSE(area=""1578.87"",cause=""DESMATAMENTO_CR"",location=""deter-amz"",month=""7"",year=""2020"") [HISTORY] Compared to the previous month, deforestation increased by 59.05%.","The main cause of deforestation was clear-cutting, which removes all vegetetation, responsible for 1,578.87 sq km of deforested area.",,,,,,,
129,"[DEFORESTATION_MONTH] [INTENTS] TOTAL_DEFORESTATION(area=""177.84"",location=""deter-amz"",month=""4"",state=""PA"",year=""2021"") [SEP] TOTAL_DEFORESTATION(area=""51.07"",city=""Altamira"",location=""deter-amz"",month=""4"",state=""PA"",year=""2021"") [HISTORY] [PARAGRAPH]","The state with the most deforestation in the month was Pará (177.84 sq km), and the most devastated municipality was Altamira / Pará, where deforestation amounted to 51.07 sq km.",,,,,,,
130,"[DEFORESTATION_DAILY] [INTENTS] CAUSE(area=""312.44"",cause=""DESMATAMENTO_CR"",location=""deter-amz"",month=""4"",year=""2021"") [HISTORY] In April 2021, 322.91 sq km of the the Legal Amazon were deforested, according to data from the National Institute for Space Research (INPE).","The main cause of deforestation was clear-cutting, which removes all vegetation coverage from the soil, responsible for 312.44 sq km of deforested area.",,,,,,,
131,"[DEFORESTATION_DAILY] [INTENTS] TOTAL_DEFORESTATION(area=""1659.45"",location=""deter-amz"",month=""7"",year=""2020"") [HISTORY] [PARAGRAPH]", The National Institute for Space Research (IN),,,,,,,
132,"[DEFORESTATION_DAILY] [INTENTS] LAST_MONTH_VARIATION_DEFORESTATION(location=""deter-amz"",month=""7"",variation=""59.05"",year=""2020"") [HISTORY] An area of approximately 1,659.45 sq km was deforested in the Legal Amazon, in July 2020, according to the National Institute for Space Research (INPE).","Compared to the previous month, deforestation increased by 59.05 percent.",,,,,,,
133,"[DEFORESTATION_MONTH] [INTENTS] LAST_MONTH_VARIATION_DEFORESTATION(location=""deter-amz"",month=""7"",variation=""59.05"",year=""2020"") [HISTORY] An area of approximately 1,659.45 sq km was deforested in the Legal Amazon, in July 2020, according to the National Institute for Space Research (INPE).","Compared to the previous month, deforestation increased by 59.05 percent.",,,,,,,
134,"[DEFORESTATION_DAILY] [INTENTS] TOTAL_DEFORESTATION(UC=""FLORESTA NACIONAL DO JAMANXIM"",area=""21.75"",city=""Novo Progresso,Itaituba"",location=""deter-amz"",month=""7"",state=""PA"",year=""2020"") [HISTORY] [PARAGRAPH]", <VERBAL,,,,,,,
135,"[DEFORESTATION_DAILY] [INTENTS] TOTAL_DEFORESTATION(UC=""FLORESTA NACIONAL DO JAMANXIM"",area=""21.75"",city=""Novo Progresso,Itaituba"",location=""deter-amz"",month=""7"",state=""PA"",year=""2020"") [HISTORY] [PARAGRAPH]","The Nature Protected Area where there was the most deforestation was the Jamanxim National Forest, in the state of Pará, where 21.75 sq km of forest were lost.",,,,,,,
136,"[DEFORESTATION_MONTH] [INTENTS] CAUSE(area=""312.44"",cause=""DESMATAMENTO_CR"",location=""deter-amz"",month=""4"",year=""2021"") [HISTORY] In April 2021, 322.91 sq km of the the Legal Amazon were deforested, according to data from the National Institute for Space Research (INPE).","The main class of deforestation was clear-cut deforestation, which removes all vegetation, responsible for 312.44 sq km of deforested area.",,,,,,,
137,"[DEFORESTATION_DAILY] [INTENTS] TOTAL_DEFORESTATION(UC=""FLORESTA NACIONAL DO JAMANXIM"",area=""35.93"",city=""Novo Progresso,Itaituba"",location=""deter-amz"",month=""4"",state=""PA"",year=""2021"") [HISTORY] [PARAGRAPH]","The Jamanxim National Forest, in the state of Pará, where 35.93 sq km of forest were chopped out, was the most affected Nature Protected Area.",,,,,,,
138,"[DEFORESTATION_DAILY] [INTENTS] TOTAL_DEFORESTATION(area=""322.91"",location=""deter-amz"",month=""4"",year=""2021"") [HISTORY] [PARAGRAPH]","According to the National Institute for Space Research (INPE), two hundred and fifty-two point nine one sq km of forestland were deforested in the Legal Amazon in April two thousand and twenty.",,,,,,,
139,"[DEFORESTATION_MONTH] [INTENTS] LAST_MONTH_VARIATION_DEFORESTATION(location=""deter-amz"",month=""7"",variation=""59.05"",year=""2020"") [HISTORY] An area of approximately 1,659.45 sq km was deforested in the Legal Amazon, in July 2020, according to the National Institute for Space Research (INPE).",The National Institute for Space Research (INPE) reported that deforestation amounted to one hundred and twenty-six point 7 nine sq km in the Legal Amazon in July two thousand and twenty-one.,,,,,,,
140,"[DEFORESTATION_MONTH] [INTENTS] TOTAL_DEFORESTATION(area=""1659.45"",location=""deter-amz"",month=""7"",year=""2020"") [HISTORY] [PARAGRAPH]","According to the National Institute for Space Research (INPE), one hundred and sixty-nine point five five sq km of forestland were deforested in the Legal Amazon in July two thousand and twenty.",,,,,,,
141,"[DEFORESTATION_MONTH] [INTENTS] LAST_MONTH_VARIATION_DEFORESTATION(location=""deter-amz"",month=""7"",variation=""59.05"",year=""2020"") [HISTORY] An area of approximately 1,659.45 sq km was deforested in the Legal Amazon, in July 2020, according to the National Institute for Space Research (INPE).",Compared was the most affected Nature Protected Area in July (659.05 sq km).,,,,,,,
142,"[DEFORESTATION_DAILY] [INTENTS] TOTAL_DEFORESTATION(area=""685.97"",location=""deter-amz"",month=""7"",state=""PA"",year=""2020"") [HISTORY] [PARAGRAPH]",Pará was the state with the highest deforestation rate (685.97 sq km) in the observation period.,,,,,,,
143,"[DEFORESTATION_DAILY] [INTENTS] TOTAL_DEFORESTATION(area=""322.91"",location=""deter-amz"",month=""4"",year=""2021"") [HISTORY] [PARAGRAPH]","The National Institute for Space Research (INPE) reported that deforestation increased by 1,322.91 sq km in the month of April two thousand and twenty-one, in the state of Pará, in the state of Pará, in the state of Pará, in the state of Pará, in the month of April two thousand and twenty-one.",,,,,,,
144,"[DEFORESTATION_MONTH] [INTENTS] TOTAL_DEFORESTATION(area=""685.97"",location=""deter-amz"",month=""7"",state=""PA"",year=""2020"") [HISTORY] [PARAGRAPH]",Pará was the state with the highest deforestation rate (685.97 sq km) in the observation period.,,,,,,,
145,"[DEFORESTATION_MONTH] [INTENTS] TOTAL_DEFORESTATION(area=""322.91"",location=""deter-amz"",month=""4"",year=""2021"") [HISTORY] [PARAGRAPH]", <VERB,,,,,,,
146,"[DEFORESTATION_DAILY] [INTENTS] TOTAL_DEFORESTATION(UC=""FLORESTA NACIONAL DO JAMANXIM"",area=""35.93"",city=""Novo Progresso,Itaituba"",location=""deter-amz"",month=""4"",state=""PA"",year=""2021"") [HISTORY] [PARAGRAPH]","The Jamanxim National Forest, in the state of Pará, was the most devastated Nature Protected Area in April, where 35.93 sq km were cleared of vegetation.",,,,,,,
147,"[DEFORESTATION_MONTH] [INTENTS] TOTAL_DEFORESTATION(area=""322.91"",location=""deter-amz"",month=""4"",year=""2021"") [HISTORY] [PARAGRAPH]","Deforestation amounted to 322.91 sq km in the Legal Amazon in April 2021, according to data from the National Institute for Space Research (INPE).",,,,,,,
148,"[DEFORESTATION_DAILY] [INTENTS] CAUSE(area=""1578.87"",cause=""DESMATAMENTO_CR"",location=""deter-amz"",month=""7"",year=""2020"") [HISTORY] Compared to the previous month, deforestation increased by 59.05%.","The main cause of destruction of the Amazon in the month (one hundred and eighty-eight point eight 7 sq km) was clear-cutting, which removes all vegetation coverage from the soil.",,,,,,,
149,"[DEFORESTATION_DAILY] [INTENTS] CAUSE(area=""312.44"",cause=""DESMATAMENTO_CR"",location=""deter-amz"",month=""4"",year=""2021"") [HISTORY] In April 2021, 322.91 sq km of the the Legal Amazon were deforested, according to data from the National Institute for Space Research (INPE).","The main class of deforestation was clear-cut deforestation, which removes all vegetetation of the soil, responsible for 312.44 sq km of deforested area.",,,,,,,
150,"[DEFORESTATION_MONTH] [INTENTS] LAST_MONTH_VARIATION_DEFORESTATION(location=""deter-amz"",month=""7"",variation=""59.05"",year=""2020"") [HISTORY] An area of approximately 1,659.45 sq km was deforested in the Legal Amazon, in July 2020, according to the National Institute for Space Research (INPE).", The National Institute for Space Research (INPE) reported that the Amazon deforestation rate was approximately 1.5 sq km in the month of,,,,,,,
151,"[DEFORESTATION_DAILY] [INTENTS] TOTAL_DEFORESTATION(area=""685.97"",location=""deter-amz"",month=""7"",state=""PA"",year=""2020"") [HISTORY] [PARAGRAPH]",Pará was the state with the highest deforestation rates (685.97 sq km) in the observation period.,,,,,,,
152,"[DEFORESTATION_MONTH] [INTENTS] TOTAL_DEFORESTATION(area=""322.91"",location=""deter-amz"",month=""4"",year=""2021"") [HISTORY] [PARAGRAPH]",The National Institute for Space Research (INPE) reported that 322.91 sq km of land were deforested in the Legal Amazon in April 2020.,,,,,,,
